variant,net,gross,hits,transfers,auto_subs,sub_gws,engine_rejects,max_solve_s,mean_solve_s,secs,season,budget,preds,file
single1,2106,2106,0,37,19,16,0,1.07,0.401578947368421,17,2023-24,1000,blend,replay_2023-24.csv
single,2212,2360,148,74,16,12,0,0.58,0.3713157894736842,16,2023-24,1000,blend,replay_2023-24.csv
h2:m2:f1.5,2139,2243,104,63,14,13,0,3.11,1.1339473684210526,45,2023-24,1000,blend,replay_2023-24.csv
h3:m4,2114,2198,84,58,15,12,0,11.58,2.073421052631579,80,2023-24,1000,blend,replay_2023-24.csv
h4:m4,2062,2182,120,67,18,16,0,29.63,3.952368421052631,152,2023-24,1000,blend,replay_2023-24.csv
h4:m2:f1.5,2086,2330,244,98,18,15,0,20.78,3.756578947368421,145,2023-24,1000,blend,replay_2023-24.csv
h2:m4,1964,2004,40,47,22,18,0,2.85,1.1339473684210528,45,2023-24,1000,blend,replay_2023-24.csv
h3:m2:f1.5,2131,2323,192,85,19,16,0,7.14,2.263157894736842,88,2023-24,1000,blend,replay_2023-24.csv
h4,1951,2371,420,142,17,13,0,14.88,3.9634210526315785,152,2023-24,1000,blend,replay_2023-24.csv
single:ctc7-wc11-bb12-fh18-fh29-wc33-bb34-tc37,2303,2431,128,116,13,11,0,0.71,0.3871052631578948,17,2023-24,1000,blend,replay_2023-24_chips.csv
h2:m2:f1.5:ctc7-wc11-bb12-fh18-fh29-wc33-bb34-tc37,2413,2509,96,107,22,17,0,4.23,1.077105263157895,43,2023-24,1000,blend,replay_2023-24_chips.csv
h3:m4:ctc7-wc11-bb12-fh18-fh29-wc33-bb34-tc37,2340,2400,60,99,21,18,0,3.45,1.5639473684210523,61,2023-24,1000,blend,replay_2023-24_chips.csv
h4:m4:ctc7-wc11-bb12-fh18-fh29-wc33-bb34-tc37,2338,2430,92,108,20,17,0,9.48,2.5626315789473684,99,2023-24,1000,blend,replay_2023-24_chips.csv
h2:x0,1902,1902,0,37,26,20,0,2.2,1.0626315789473686,42,2023-24,1000,blend,replay_2023-24_chips.csv
h4:x0,2065,2065,0,37,24,20,0,12.18,3.271052631578948,126,2023-24,1000,blend,replay_2023-24_chips.csv
h1:x0,2069,2069,0,37,23,19,0,7.72,0.8726315789473683,35,2023-24,1000,blend,replay_2023-24_nohit.csv
h3:x0,2066,2066,0,37,21,16,0,3.72,1.7323684210526316,67,2023-24,1000,blend,replay_2023-24_nohit.csv
h2:m8,1902,1902,0,37,26,20,0,3.58,1.1365789473684214,45,2023-24,1000,blend,replay_2023-24_nohit.csv
h2:x0:f1,1902,1902,0,37,25,20,0,2.47,1.0684210526315787,42,2023-24,1000,blend,replay_2023-24_nohit.csv
h2:x0:ctc7-wc11-bb12-fh18-fh29-wc33-bb34-tc37,2307,2307,0,83,23,19,0,2.18,1.1163157894736842,44,2023-24,1000,blend,replay_2023-24_nohit.csv
h3:x0:ctc7-wc11-bb12-fh18-fh29-wc33-bb34-tc37,2340,2340,0,84,20,18,0,3.77,1.719473684210526,67,2023-24,1000,blend,replay_2023-24_nohit.csv
single1,2138,2138,0,37,26,22,0,0.61,0.3713157894736842,16,2024-25,1000,row,replay_2024-25_a.csv
single,2191,2267,76,56,20,16,0,0.62,0.3642105263157895,15,2024-25,1000,row,replay_2024-25_a.csv
h1,2150,2274,124,68,25,18,0,1.29,0.6944736842105265,28,2024-25,1000,row,replay_2024-25_a.csv
h2,2197,2449,252,100,21,17,0,4.06,1.255,49,2024-25,1000,row,replay_2024-25_a.csv
h3,2137,2433,296,111,21,20,0,6.83,2.607368421052631,102,2024-25,1000,row,replay_2024-25_a.csv
h4,2083,2455,372,130,20,18,0,9.26,2.9502631578947374,115,2024-25,1000,row,replay_2024-25_a.csv
h4:m2,2168,2344,176,81,19,17,0,18.24,3.637368421052632,140,2024-25,1000,row,replay_2024-25_b.csv
h4:m4,2282,2398,116,66,22,17,0,10.77,3.3307894736842103,128,2024-25,1000,row,replay_2024-25_b.csv
h4:f2,2078,2458,380,132,21,17,0,15.05,3.14,121,2024-25,1000,row,replay_2024-25_b.csv
h4:m2:f1.5,2208,2384,176,81,23,19,0,20.6,3.3078947368421048,127,2024-25,1000,row,replay_2024-25_b.csv
h4:m4:f2,2256,2376,120,67,20,16,0,25.96,3.26921052631579,126,2024-25,1000,row,replay_2024-25_b.csv
h3:m2:f1.5,2262,2418,156,76,20,14,0,13.4,2.196052631578948,85,2024-25,1000,row,replay_2024-25_b.csv
h2:m2:f1.5,2251,2351,100,62,22,20,0,4.03,1.170263157894737,46,2024-25,1000,row,replay_2024-25_b.csv
