policy,n_paths,mean_net,mean_d_net,min_d,max_d,paths_won,d_24,d_25,ci90_lo,ci90_hi,gw_won,gw_lost,hits,n_tr,autosub_pts,xi_dnp,bench_pred,gw_sd,gw_p10
C_m2,11,2175.5454545454545,4.545454545454546,-87,113,5,30.4,-17.0,-30.368181818181817,41.27272727272727,186,199,26.181818181818183,43.54545454545455,57.81818181818182,32.36363636363637,4.141848543019783,16.54476641412175,37.627272727272725
T_2,11,2171.909090909091,0.9090909090909091,-49,23,6,-8.4,8.666666666666666,-10.0,12.272727272727273,34,40,108.36363636363636,64.0909090909091,62.72727272727273,28.272727272727273,5.106333801608217,16.601579629971017,38.5
I_m4,11,2171.4545454545455,0.45454545454545453,-88,74,3,-7.2,6.833333333333333,-22.37272727272727,24.09090909090909,83,78,64.72727272727273,53.18181818181818,60.0,31.09090909090909,4.824239370224958,15.887204553402876,37.945454545454545
A_default,11,2171.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,109.81818181818181,64.45454545454545,62.72727272727273,28.363636363636363,5.042965372330248,16.667304729633955,38.43636363636363
T_1,11,2170.090909090909,-0.9090909090909091,-49,23,4,-8.6,5.5,-7.822727272727272,6.186363636363632,12,16,109.81818181818181,64.45454545454545,62.72727272727273,28.454545454545453,5.013457198969231,16.658159396811516,38.236363636363635
D_minp,11,2167.4545454545455,-3.5454545454545454,-70,59,6,8.8,-13.833333333333334,-27.82272727272727,21.822727272727267,153,143,105.45454545454545,63.36363636363637,64.0909090909091,28.545454545454547,5.210245185635063,16.964621942438516,37.46363636363636
T_0.5,11,2167.090909090909,-3.909090909090909,-49,10,3,-11.2,2.1666666666666665,-9.818181818181818,1.8181818181818181,8,15,110.54545454545455,64.63636363636364,61.54545454545455,28.454545454545453,5.027069888194627,16.744937744810155,38.10909090909091
I_nohit,11,2165.7272727272725,-5.2727272727272725,-88,103,3,-3.0,-7.166666666666667,-30.545454545454547,19.818181818181817,77,83,61.81818181818182,52.45454545454545,62.0,31.363636363636363,4.81946990741407,16.20464231417752,37.86363636363637
T_3,11,2165.3636363636365,-5.636363636363637,-60,37,4,-13.6,1.0,-27.363636363636363,15.459090909090905,101,93,101.45454545454545,62.27272727272727,60.36363636363637,28.545454545454547,4.834462453666132,16.739777671422367,37.2
D_dnp_minp,11,2164.818181818182,-6.181818181818182,-127,91,6,25.6,-32.666666666666664,-33.1,22.827272727272717,186,179,119.63636363636364,66.9090909090909,74.72727272727273,30.0,5.618023084509578,17.422848379878275,36.336363636363636
T_4,11,2159.909090909091,-11.090909090909092,-118,91,5,-4.0,-17.0,-44.0,21.640909090909087,165,167,71.63636363636364,54.63636363636363,58.54545454545455,30.0,4.625386762092956,17.416626902581612,37.28181818181818
I_m2_all,11,2153.909090909091,-17.09090909090909,-118,100,4,10.6,-40.166666666666664,-56.28181818181818,21.822727272727267,190,195,10.181818181818182,39.54545454545455,54.72727272727273,34.0,4.047948111863809,16.43066889600079,37.690909090909095
H_cap1,11,2150.0,-21.0,-106,144,4,-5.4,-34.0,-50.913636363636364,9.822727272727269,171,191,60.36363636363637,52.09090909090909,59.0,30.363636363636363,4.584223848925395,16.403630440802733,36.42727272727273
D_dnp_x2,11,2148.5454545454545,-22.454545454545453,-127,122,4,2.8,-43.5,-50.18636363636364,5.545454545454546,160,195,119.63636363636364,66.9090909090909,68.45454545454545,28.818181818181817,5.491375536654046,17.134309609332437,37.27272727272727
E_m2_T1,4,2179.25,-23.25,-87,30,1,-15.0,-26.0,-86.25,40.0,60,82,31.0,44.75,50.25,31.0,4.266033726158696,16.48839867733324,39.05
C_m3,11,2145.0,-26.0,-202,182,4,21.2,-65.33333333333333,-61.368181818181824,13.368181818181814,181,200,12.0,40.0,52.45454545454545,33.81818181818182,3.7550792397926056,16.373300128123173,37.09090909090909
